map_context,condition,County,cell_id,count,share_of_condition_pct,centroid_lat,centroid_lon
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,208,3,0.05167958656330749,38.810624395968055,-76.91303027236734
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,210,7,0.12058570198105081,38.84304811243709,-76.91389850120676
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,211,31,0.5340223944875108,38.85925989684842,-76.9143331402297
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,212,3,0.05167958656330749,38.87535047087503,-76.91460750251173
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,213,8,0.13781223083548663,38.89107425851861,-76.9102938647647
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,214,6,0.10335917312661498,38.90835969867587,-76.91506016299745
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,215,1,0.01722652885443583,38.92410654211516,-76.91607520084395
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,216,19,0.32730404823428083,38.940318080289295,-76.9165115936681
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,217,33,0.5684754521963824,38.95652956918725,-76.9169483381779
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,218,2,0.03445305770887166,38.972741008799524,-76.91738543468273
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,219,2,0.03445305770887166,38.98895239911653,-76.91782288349242
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,220,9,0.15503875968992248,39.00516374012877,-76.91826068491719
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,221,17,0.29285099052540914,39.02137503182671,-76.91869883926766
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,222,8,0.13781223083548663,39.037586274200834,-76.91913734685487
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,223,1,0.01722652885443583,39.05379746724165,-76.91957620799026
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,233,2,0.03445305770887166,38.74611314233464,-76.89059610015296
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,234,6,0.10335917312661498,38.76232541592348,-76.89102396654964
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,235,4,0.06890611541774332,38.778537640428375,-76.89145217749261
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,237,5,0.08613264427217916,38.81096194214811,-76.89230963422459
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,238,1,0.01722652885443583,38.82717401934385,-76.89273888061815
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,239,17,0.29285099052540914,38.843386047417475,-76.89316847276716
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,240,10,0.17226528854435832,38.859598026359436,-76.89359841097489
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,241,9,0.15503875968992248,38.87580995616022,-76.89402869554502
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,242,6,0.10335917312661498,38.892021836810315,-76.89445932678161
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,243,5,0.08613264427217916,38.90823366830025,-76.89489030498915
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,244,11,0.18949181739879414,38.92444545062052,-76.8953216304725
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,245,14,0.24117140396210163,38.940657183761644,-76.89575330353694
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,246,10,0.17226528854435832,38.956868867714164,-76.89618532448814
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,247,6,0.10335917312661498,38.973080502468626,-76.89661769363218
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,248,6,0.10335917312661498,38.98929208801557,-76.89705041127553
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,249,9,0.15503875968992248,39.00550362434556,-76.89748347772506
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,251,2,0.03445305770887166,39.037926549316964,-76.89835065827222
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,252,1,0.01722652885443583,39.05413793793954,-76.89878477298562
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,255,3,0.05167958656330749,39.102360997857645,-76.89932534341975
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,259,1,0.01722652885443583,38.697808557755856,-76.86862633112563
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,268,11,0.18949181739879414,38.84372030589551,-76.87243809826892
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,269,2,0.03445305770887166,38.85993247725354,-76.87286333535776
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,272,17,0.29285099052540914,38.908568696959804,-76.87414110330613
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,273,20,0.34453057708871665,38.92478067204128,-76.87456771252003
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,274,1,0.01722652885443583,38.94099259803012,-76.87499466551907
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,275,12,0.20671834625322996,38.95720447491696,-76.87542196260561
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,276,5,0.08613264427217916,38.97341630269243,-76.87584960408238
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,277,5,0.08613264427217916,38.989628081347156,-76.8762775902525
